year,ecoregion,state,severity,struccond,hectares_burned,lsr_hectares_burned,region_hectares,region_lsr_hectares,region_og_hectares,region_lsr_og_hectares,yr_group
1986,Western Cascades,Washington,High,Sparse,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Very high,Sparse,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Very low / unburned,Open,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Low,Open,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Low / moderate,Open,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Moderate / high,Open,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,High,Open,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Very high,Open,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Very low / unburned,Sapling/pole - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Low,Sapling/pole - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Low / moderate,Sapling/pole - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Moderate / high,Sapling/pole - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,High,Sapling/pole - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Very high,Sapling/pole - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Very low / unburned,Small/medium tree - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Low,Small/medium tree - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Low / moderate,Small/medium tree - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Moderate / high,Small/medium tree - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,High,Small/medium tree - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Very high,Small/medium tree - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Very low / unburned,Large tree - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Low,Large tree - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Low / moderate,Large tree - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Moderate / high,Large tree - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,High,Large tree - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Very high,Large tree - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Very low / unburned,Large/giant tree - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Low,Large/giant tree - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Low / moderate,Large/giant tree - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,Moderate / high,Large/giant tree - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1986,Western Cascades,Washington,High,Large/giant tree - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
